T07	multiples traumatismes non spécifiés
T37.0X1D	intoxication par des sulfamides, accidentelle (involontaire), contact subséquent
T37.0X1S	intoxication par des sulfamides, accidentelle (involontaire), séquelle
T37.0X2A	intoxication par des sulfamides, auto-infligée, contact initial
T37.0X2D	intoxication par des sulfamides, auto-infligée, contact subséquent
T37.0X2S	intoxication par des sulfamides, auto-infligée, séquelle
T37.0X3A	intoxication par des sulfamides, agression, contact initial
T37.0X3D	intoxication par des sulfamides, agression, contact subséquent
T37.0X3S	intoxication par des sulfamides, agression, séquelle
T37.0X4A	intoxication par des sulfamides, intention indéterminée, contact initial
T37.0X4D	intoxication par des sulfamides, intention indéterminée, contact subséquent
T37.0X4S	intoxication par des sulfamides, intention indéterminée, séquelle
T37.0X5A	réaction secondaire aux sulfamides, contact initial
T37.0X5D	réaction secondaire aux sulfamides, contact subséquent
T37.0X5S	réaction secondaire aux sulfamides, séquelle
T37.0X6A	sous-dosage en sulfamides, contact initial
T37.0X6D	sous-dosage en sulfamides, contact subséquent
T37.0X6S	sous-dosage en sulfamides, séquelle
T37.1X1A	intoxication par des antimycobactériens, accidentelle (involontaire), contact initial
T37.1X1D	intoxication par des antimycobactériens, accidentelle (involontaire), contact subséquent
T37.1X1S	intoxication par des antimycobactériens, accidentelle (involontaire), séquelle
T37.1X2A	intoxication par des antimycobactériens, auto-infligée, contact initial
T37.1X2D	intoxication par des antimycobactériens, auto-infligée, contact subséquent
T37.1X2S	intoxication par des antimycobactériens, auto-infligée, séquelle
T37.1X3A	intoxication par des antimycobactériens, agression, contact initial
T37.1X3D	intoxication par des antimycobactériens, agression, contact subséquent
T37.1X3S	intoxication par des antimycobactériens, agression, séquelle
T37.1X4A	intoxication par des antimycobactériens, intention indéterminée, contact initial
T37.1X4D	intoxication par des antimycobactériens, intention indéterminée, contact subséquent
T37.1X4S	intoxication par des antimycobactériens, intention indéterminée, séquelle
T37.1X5A	réaction secondaire aux antimycobactériens, contact initial
T37.1X5D	réaction secondaire aux antimycobactériens, contact subséquent
T37.1X5S	réaction secondaire aux antimycobactériens, séquelle
T37.1X6A	sous-dosage en antimycobactériens, contact initial
T37.1X6D	sous-dosage en antimycobactériens, contact subséquent
T37.1X6S	sous-dosage en antimycobactériens, séquelle
T37.2X1A	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, accidentelle (involontaire), contact initial
T37.2X1D	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, accidentelle (involontaire), contact subséquent
T37.2X1S	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, accidentelle (involontaire), séquelle
T37.2X2A	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, auto-infligée, contact initial
T37.2X2D	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, auto-infligée, contact subséquent
T37.2X2S	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, auto-infligée, séquelle
T37.2X3A	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, agression, contact initial
T37.2X3D	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, agression, contact subséquent
T37.2X3S	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, agression, séquelle
T37.2X4A	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, intention indéterminée, contact initial
T37.2X4D	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, intention indéterminée, contact subséquent
T37.2X4S	intoxication par des antipaludiques et des médicaments agissant sur d'autres protozoaires du sang, intention indéterminée, séquelle
T37.2X5A	réaction secondaire aux antipaludiques et médicaments agissant sur d'autres protozoaires du sang, contact initial
T37.2X5D	réaction secondaire aux antipaludiques et médicaments agissant sur d'autres protozoaires du sang, contact subséquent
T37.2X5S	réaction secondaire aux antipaludiques et médicaments agissant sur d'autres protozoaires du sang, séquelle
T37.2X6A	sous-dosage en antipaludiques et médicaments agissant sur d'autres protozoaires du sang, contact initial
T37.2X6D	sous-dosage en antipaludiques et médicaments agissant sur d'autres protozoaires du sang, contact subséquent
T37.2X6S	sous-dosage en antipaludiques et médicaments agissant sur d'autres protozoaires du sang, séquelle
T37.3X1A	intoxication par d'autres antiprotozoaires, accidentelle (involontaire), contact initial
T37.3X1D	intoxication par d'autres antiprotozoaires, accidentelle (involontaire), contact subséquent
T37.3X1S	intoxication par d'autres antiprotozoaires, accidentelle (involontaire), séquelle
T37.3X2A	intoxication par d'autres antiprotozoaires, auto-infligée, contact initial
T37.3X2D	intoxication par d'autres antiprotozoaires, auto-infligée, contact subséquent
T37.3X2S	intoxication par d'autres antiprotozoaires, auto-infligée, séquelle
T37.3X3A	intoxication par d'autres antiprotozoaires, agression, contact initial
T37.3X3D	intoxication par d'autres antiprotozoaires, agression, contact subséquent
T37.3X3S	intoxication par d'autres antiprotozoaires, agression, séquelle
T37.3X4A	intoxication par d'autres antiprotozoaires, intention indéterminée, contact initial
T37.3X4D	intoxication par d'autres antiprotozoaires, intention indéterminée, contact subséquent
T37.3X4S	intoxication par d'autres antiprotozoaires, intention indéterminée, séquelle
T37.3X5A	réaction secondaire aux d'autres antiprotozoaires, contact initial
T37.3X5D	réaction secondaire aux d'autres antiprotozoaires, contact subséquent
T37.3X5S	réaction secondaire aux d'autres antiprotozoaires, séquelle
T37.3X6A	sous-dosage en d'autres antiprotozoaires, contact initial
T37.3X6D	sous-dosage en d'autres antiprotozoaires, contact subséquent
T37.3X6S	sous-dosage en d'autres antiprotozoaires, séquelle
T37.4X1A	intoxication par des anthelminthiques, accidentelle (involontaire), contact initial
T37.4X1D	intoxication par des anthelminthiques, accidentelle (involontaire), contact subséquent
T37.4X1S	intoxication par des anthelminthiques, accidentelle (involontaire), séquelle
T37.4X2A	intoxication par des anthelminthiques, auto-infligée, contact initial
T37.4X2D	intoxication par des anthelminthiques, auto-infligée, contact subséquent
T37.4X2S	intoxication par des anthelminthiques, auto-infligée, séquelle
T37.4X3A	intoxication par des anthelminthiques, agression, contact initial
T37.4X3D	intoxication par des anthelminthiques, agression, contact subséquent
T37.4X3S	intoxication par des anthelminthiques, agression, séquelle
T37.4X4A	intoxication par des anthelminthiques, intention indéterminée, contact initial
T37.4X4D	intoxication par des anthelminthiques, intention indéterminée, contact subséquent
T37.4X4S	intoxication par des anthelminthiques, intention indéterminée, séquelle
T37.4X5A	réaction secondaire aux anthelminthiques, contact initial
T37.4X5D	réaction secondaire aux anthelminthiques, contact subséquent
T37.4X5S	réaction secondaire aux anthelminthiques, séquelle
T37.4X6A	sous-dosage en anthelminthiques, contact initial
T37.4X6D	sous-dosage en anthelminthiques, contact subséquent
T37.4X6S	sous-dosage en anthelminthiques, séquelle
T37.5X1A	intoxication par des antiviraux, accidentelle (involontaire), contact initial
T37.5X1D	intoxication par des antiviraux, accidentelle (involontaire), contact subséquent
T37.5X1S	intoxication par des antiviraux, accidentelle (involontaire), séquelle
T37.5X2A	intoxication par des antiviraux, auto-infligée, contact initial
T37.5X2D	intoxication par des antiviraux, auto-infligée, contact subséquent
T37.5X2S	intoxication par des antiviraux, auto-infligée, séquelle
T37.5X3A	intoxication par des antiviraux, agression, contact initial
T37.5X3D	intoxication par des antiviraux, agression, contact subséquent
T37.5X3S	intoxication par des antiviraux, agression, séquelle
T37.5X4A	intoxication par des antiviraux, intention indéterminée, contact initial
T37.5X4D	intoxication par des antiviraux, intention indéterminée, contact subséquent
T37.5X4S	intoxication par des antiviraux, intention indéterminée, séquelle
T37.5X5A	réaction secondaire aux antiviraux, contact initial
T37.5X5D	réaction secondaire aux antiviraux, contact subséquent
T37.5X5S	réaction secondaire aux antiviraux, séquelle
T37.5X6A	sous-dosage en antiviraux, contact initial
T37.5X6D	sous-dosage en antiviraux, contact subséquent
T37.5X6S	sous-dosage en antiviraux, séquelle
T37.8X1A	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, accidentelle (involontaire), contact initial
T37.8X1D	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, accidentelle (involontaire), contact subséquent
T37.8X1S	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, accidentelle (involontaire), séquelle
T37.8X2A	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, auto-infligée, contact initial
T37.8X2D	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, auto-infligée, contact subséquent
T37.8X4A	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, intention indéterminée, contact initial
T37.8X4D	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, intention indéterminée, contact subséquent
T37.8X4S	intoxication par d'autres anti-infectieux et antiparasitaires systémiques spécifiés, intention indéterminée, séquelle
T37.8X5A	réaction secondaire aux d'autres anti-infectieux et antiparasitaires systémiques spécifiés, contact initial
T37.8X5D	réaction secondaire aux d'autres anti-infectieux et antiparasitaires systémiques spécifiés, contact subséquent
T37.8X5S	réaction secondaire aux d'autres anti-infectieux et antiparasitaires systémiques spécifiés, séquelle
T37.8X6A	sous-dosage en d'autres anti-infectieux et antiparasitaires systémiques spécifiés, contact initial
T37.8X6D	sous-dosage en d'autres anti-infectieux et antiparasitaires systémiques spécifiés, contact subséquent
T37.8X6S	sous-dosage en d'autres anti-infectieux et antiparasitaires systémiques spécifiés, séquelle
T37.91XA	intoxication par des anti-infectieux et antiparasitaires systémiques non spécifiés, accidentelle (involontaire), contact initial
T37.91XD	intoxication par des anti-infectieux et antiparasitaires systémiques non spécifiés, accidentelle (involontaire), contact subséquent
T37.91XS	intoxication par des anti-infectieux et antiparasitaires systémiques non spécifiés, accidentelle (involontaire), séquelle
T37.92XA	intoxication par des anti-infectieux et antiparasitaires systémiques non spécifiés, auto-infligée, contact initial
T37.92XD	intoxication par des anti-infectieux et antiparasitaires systémiques non spécifiés, auto-infligée, contact subséquent
T37.92XS	intoxication par des anti-infectieux et antiparasitaires systémiques non spécifiés, auto-infligée, séquelle
T37.93XA	intoxication par des anti-infectieux et antiparasitaires systémiques non spécifiés, agression, contact initial
